dez 16 balance: 2 hours and 32 minutes (82 hours and 32 minutes worked)
total balance: 94 hours and 2 minutes (174 hours and 2 minutes worked)
average worktime per day: 6 hours and 13 minutes
nov 16 balance: 6 hours and 30 minutes (86 hours and 30 minutes worked)


date         in         out        worktime
29.12.2016   08:58:18   17:53:58   08:55:40
28.12.2016   09:00:00   13:00:00   04:00:00
27.12.2016   09:00:00   13:00:00   04:00:00
23.12.2016   08:48:40   13:25:32   04:36:52
22.12.2016   08:54:00   15:54:45   07:00:45
21.12.2016   08:58:38   16:16:21   07:17:43
14.12.2016   09:34:12   16:39:02   07:04:50
13.12.2016   08:51:28   18:16:00   09:24:32
12.12.2016   09:41:29   14:41:29   05:00:00
08.12.2016   09:22:04   15:26:55   06:04:51
07.12.2016   09:13:13   15:13:12   05:59:59
06.12.2016   09:15:14   15:14:05   05:58:51
01.12.2016   08:41:20   15:49:20   07:08:00
30.11.2016   08:20:00   14:18:00   05:58:00
29.11.2016   09:06:00   15:05:00   05:59:00
24.11.2016   08:46:00   14:46:00   06:00:00
23.11.2016   08:46:00   14:45:00   05:59:00
22.11.2016   08:46:00   14:45:00   05:59:00
17.11.2016   10:07:00   16:06:00   05:59:00
16.11.2016   08:47:00   14:45:00   05:58:00
15.11.2016   08:36:00   14:35:00   05:59:00
14.11.2016   08:47:00   14:34:00   05:47:00
10.11.2016   08:37:00   14:35:00   05:58:00
09.11.2016   08:47:00   14:46:00   05:59:00
08.11.2016   08:50:00   14:47:00   05:57:00
03.11.2016   08:48:00   16:39:00   07:51:00
01.11.2016   09:45:00   16:52:00   07:07:00
25.10.2016   10:00:00   15:00:00   05:00:00
